train_acc,train_loss,val_acc,val_loss
0.70947,0.9550983,0.8365189873417721,0.49362126
0.83976,0.46826482,0.8508227848101266,0.42712933
0.8586099999999999,0.4034535,0.8669620253164556,0.3816902
0.86776,0.3724049,0.8708860759493671,0.36337388
0.87451,0.34486717,0.8765822784810127,0.33967644
0.87975,0.32810277,0.8753164556962026,0.34611002
0.88462,0.31417027,0.8839240506329112,0.3295938
0.8881800000000001,0.3017845,0.8833544303797468,0.3236718
0.89076,0.29133698,0.8833544303797469,0.3352541
0.8944000000000001,0.28075433,0.8851265822784812,0.32233182
