train_acc,train_loss,val_acc,val_loss
0.50026,1.7439367,0.715253164556962,0.9183821
0.7401400000000001,0.82851267,0.7762025316455695,0.6898025
0.78382,0.6684906,0.7898101265822786,0.6438432
0.80317,0.59676266,0.8062658227848102,0.57867545
0.8183400000000002,0.54667854,0.8229113924050634,0.51064545
0.8271400000000001,0.5128904,0.8401898734177216,0.4755266
0.83501,0.48648947,0.8387974683544303,0.4639996
0.8408799999999998,0.46432152,0.8401898734177216,0.45202
0.8451700000000001,0.44815588,0.8510759493670886,0.43197206
0.8505699999999999,0.43313056,0.8558860759493672,0.420804
0.8545499999999999,0.41868708,0.8616455696202531,0.4001079
0.8581,0.40735963,0.855759493670886,0.41242754
0.8622799999999999,0.39504188,0.8597468354430379,0.40468863
0.86503,0.38518956,0.8626582278481013,0.39116243
0.86694,0.3780235,0.8672784810126583,0.3755593
0.8697699999999999,0.3693443,0.8677215189873415,0.3800678
0.8714100000000001,0.3640852,0.8634177215189872,0.38441753
0.8725799999999999,0.35622153,0.867278481012658,0.3677969
0.8751500000000001,0.3498388,0.8682278481012659,0.37323007
0.8756600000000001,0.3463957,0.8670886075949367,0.3805121
0.87732,0.34014454,0.8687341772151899,0.35895234
0.88049,0.33338785,0.8743670886075949,0.35585874
0.8806499999999999,0.32957166,0.8775316455696205,0.34388512
0.8816700000000001,0.3261339,0.8758860759493672,0.35307235
0.88353,0.32116368,0.8770886075949366,0.34166026
0.8845599999999999,0.31745923,0.8789240506329115,0.33288938
0.88548,0.31367218,0.8801265822784811,0.33545715
0.8864200000000001,0.310672,0.8759493670886076,0.3443675
0.88752,0.30699462,0.8736708860759493,0.3448474
0.88801,0.30428314,0.8768354430379748,0.34205827
0.8890699999999999,0.30126894,0.8765189873417722,0.33873424
0.8903300000000001,0.29749304,0.8791772151898732,0.33567232
0.89103,0.29505396,0.8780379746835444,0.33358923
0.8911200000000001,0.293654,0.8800000000000001,0.33166626
0.89254,0.289918,0.8782278481012658,0.33786803
0.89259,0.28796425,0.8808860759493672,0.32943305
0.89432,0.2848067,0.8795569620253166,0.33604756
0.8946600000000001,0.2837403,0.8818354430379746,0.32508639
0.89504,0.2812369,0.8810126582278482,0.32718852
0.8965,0.27782103,0.8828481012658228,0.3239537
0.8970400000000001,0.27637607,0.878607594936709,0.3299603
0.89764,0.2738435,0.8836708860759493,0.32511726
0.89843,0.27175984,0.8808860759493672,0.32776225
0.8978800000000001,0.27092203,0.8830379746835444,0.32700148
0.89912,0.2674662,0.8817721518987344,0.32769123
0.8989400000000001,0.26823545,0.8824683544303796,0.32642797
0.90047,0.26450837,0.8829113924050633,0.33092162
