train_acc,train_loss,val_acc,val_loss
0.66462,1.13474,0.8003797468354429,0.6292205
0.81093,0.57701725,0.8320886075949367,0.5037777
0.8374000000000001,0.4869398,0.8441139240506331,0.45877263
0.8504499999999999,0.43975672,0.8523417721518989,0.431613
0.86027,0.40699542,0.864240506329114,0.39020854
0.8660599999999999,0.38578823,0.868987341772152,0.37655026
0.8710699999999999,0.36741754,0.8735443037974684,0.3705155
0.8752199999999999,0.3546148,0.869367088607595,0.36843598
0.8791599999999999,0.3412676,0.8774050632911394,0.36162853
0.88168,0.32981434,0.8798101265822784,0.34501088
