train_acc,train_loss,val_acc,val_loss
0.7443399999999999,0.82234365,0.8486075949367088,0.4259367
0.8583800000000001,0.4023103,0.8705063291139242,0.36799622
0.87578,0.34719646,0.8758227848101265,0.3494568
0.88385,0.3205412,0.8751265822784811,0.34693322
0.88998,0.29728496,0.8817721518987341,0.32292613
0.89361,0.28131133,0.8820253164556963,0.3256867
0.8994099999999999,0.2624125,0.8886708860759496,0.31840128
0.90399,0.24900025,0.879746835443038,0.33654857
0.9086700000000001,0.23448786,0.885253164556962,0.32977495
0.9116600000000001,0.2221912,0.8833544303797469,0.333806
