train_acc,train_loss,val_acc,val_loss
0.75374,0.7875228,0.8551898734177213,0.4132428
0.8596800000000001,0.3967627,0.8735443037974683,0.35599422
0.87475,0.343599,0.8784177215189874,0.34575388
0.88385,0.31623748,0.8815189873417721,0.33591148
0.89044,0.29316077,0.884493670886076,0.3182814
0.8943599999999999,0.27538973,0.884240506329114,0.31746036
0.8995299999999999,0.2603952,0.8889873417721521,0.3140466
0.90371,0.24710135,0.8870886075949367,0.32518294
0.90749,0.23301238,0.8869620253164557,0.3358584
0.91175,0.22010493,0.8849367088607595,0.3278295
