train_acc,train_loss,val_acc,val_loss
0.59504,1.4069294,0.7562025316455696,0.8009094
0.77552,0.71805894,0.8031645569620253,0.60060936
0.8205,0.5536535,0.8299367088607594,0.501755
0.83965,0.48302513,0.8485443037974683,0.46014583
0.8500300000000001,0.4413852,0.8567088607594937,0.4135027
0.8571099999999999,0.41757193,0.8618987341772152,0.39653745
0.863,0.3986551,0.8646835443037975,0.39013755
0.86579,0.385461,0.8596202531645571,0.39784858
0.86921,0.37420237,0.8700632911392405,0.37425476
0.8716900000000001,0.36495063,0.8716455696202532,0.36946324
